Nom,Adresse,Code Postal,Ville,Téléphone,Site,Département,Latitude,Longitude
La Ruche ,"24 Rue de l’Est, 75020 Paris",75020,Paris,01 83 64 59 04,http://la-ruche.net/,75,48.871113,2.3934274
Greenspace Paris ,"28 rue du Chemin Vert, 75 011 Paris",,,01 43 38 14 51,http://greenspace-paris.com,,48.8580268,2.3725547
SPLIT Coworking ,,,,,,,,
VOLUMES coworking ,"78 Rue Compans, 75019 Paris",75019,Paris,07 68 64 61 62,http://www.volumesparis.org,75,48.8796048,2.3922105
The Office ,"19 rue Claude Bernard, 75 005 Paris",,,06 60 77 02 41,https://www.theoffice-paris.com/,,48.8391512,2.3486422
Hubsy ,"41 Rue Réaumur, 75003 Paris",75003,Paris,01 43 56 89 80,https://www.hubsy.fr/,75,48.8657517,2.3543081
Mutinerie ,"29 rue de Meaux, 75019 Paris",75019,Paris,09 81 74 92 00,http://coworking.mutinerie.org/,75,48.8797872,2.3719312
LYDD Consulting ,51 rue Claude Decaen 75012 Paris,75012,Paris,01 73 71 83 68,http://lyddconsulting.com/coworking/,75,48.8364364,2.3987197
Sandbox 212 ,"6 – 8 Cours du Danube, 77 700 Serris",,,,http://www.sandbox212.fr/,,48.8565375,2.7777305
Mon premier bureau ,"29 Rue Brézin, 75014 Paris",75014,Paris,,http://www.monpremierbureau.org/,75,48.8315267,2.3263714
PLANET COWORKING ,"88 rue Saint-Maur, 75011 Paris",75011,Paris,07 64 50 05 55,http://www.planet-coworking.com,75,48.8650803,2.3778674
TimeWorkSpace ,"3 bis rue Jean Jaurès, 92800 Puteaux",92800,Puteaux,01 49 00 05 40,https://www.timeworkspace.fr/,92,48.8834,2.2389
Mon Premier Bureau ,"100, avenue de Stalingrad, 94800 Villejuif",94800,Villejuif,,,94,48.7939,2.3599
Coworking95 ,"11 ter rue Bergeret, 95290 L’Isle-Adam",95290,L’Isle-Adam,01 34 69 26 93,http://www.coworking95.fr,95,49.1129991,2.220063
My Cowork ,"54 rue Greneta, 75002 Paris",75002,Paris,01 85 09 08 29,http://mycowork.fr/,75,48.8655286,2.347994
Le Trèfle ,"31 bis Rue des Longs Prés, 92100 Boulogne-Billancourt",92100,Boulogne-Billancourt,01 80 87 46 01 / 07 61 63 22 57,http://www.groupe-letrefle.fr/,92,48.8310873,2.2471059
Grand Tour ,"30 rue des 3 Bornes, 75011 Paris",75011,Paris,01 48 06 85 22,https://grandtour.paris/,75,48.8574,2.3795
Le Laptop ,"6 rue Arthur Rozier, 75019 Paris",75019,Paris,01 77 16 65 24,https://www.lelaptop.com/,75,48.8773972,2.3907515
Digital Village ,"13 rue Vandrezanne, 75 013 Paris",,,06 20 85 50 62,http://digital-village.fr/coworking/paris,,48.8279182,2.3543347
Le Well Lab ,"10 rue des Renaudes, 75017 Paris",75017,Paris,01 44 09 96 78,http://www.lewelllab.fr/,75,48.8791801,2.3003203
Cool and Workers ,"30-34 rue du Chemin Vert 75011, Paris",,,01 80 88 48 28,https://www.coolandworkers.com/,,48.8583716,2.372928
Work In Paris ,"111 Rue Cardinet, 75017 Paris",75017,Paris,01 85 09 38 60,http://www.workinparis.com/cardinet,75,48.8855832,2.311429
We art from Paris ,"40 rue Castagnary, 75015 Paris",75015,Paris,06 82 56 82 11,https://weartfromparis.com/,75,48.8324767,2.3079985
Le Tank ,"22 bis rue des Taillandiers, 75011 Paris",75011,Paris,01 43 14 71 23,https://letank.fr/,75,48.8551698,2.3748803
9GDM ,"9 rue Guyton de Morveau, 75 013 Paris",,,01 84 19 50 47,https://9gdm.com,,48.8246531,2.3483868
Le 10h10 ,"210 rue Saint-Martin, 75003 Paris",75003,Paris,01 44 49 92 59,http://www.le10h10.com/fr/coworking-cafe/,75,48.8635514,2.3527513
BGE PaRIF ,"18 Rue du Faubourg du Temple, 75011 Paris",75011,Paris,01 43 55 09 48,http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,75,48.8682932,2.3661301
Patchwork ,"10 rue Pergolèse, 75016 paris",75016,Paris,01 42 21 15 44,http://www.patchwork.co/,75,48.8637,2.2769
The Place To… ,"47 avenue de Wagram, 75017, PARIS",,,0145747928,http://www.theplaceto.paris,,48.877563,2.2975158
La Cordée ,"61 rue Traversière, 75 012 Paris",,,01 81 29 47 90,https://www.la-cordee.net/cordee/paris/paris-gare-de-lyon/,,48.8489185,2.3744639
Mozaik Coworking ,"41 Rue de la Chaussée d’Antin, 75009 Paris",75009,Paris,06 42 63 79 34,http://www.mozaik-coworking.com/,75,48.8749731,2.3323202
WoMa ,"15 bis rue Léon Giraud, 75019 Paris",75019,Paris,01 40 18 59 21,https://woma.fr/fr/,75,48.8877195,2.382545
